metric_group,metric,context_len_label,actual_prompt_tokens,value_tok_s,delta_vs_w4a16_b1,med_ttft_s,measurement,source_report,notes
PR,4K,4K,8200,2950.5,+6.6%,,3-round median,luz031-deployment-2026-08-23.md §3.1,vs W4A16 B1=2769
PR,16K,16K,32800,2943.6,+6.3%,,3-round median,luz031-deployment-2026-08-23.md §3.1,vs W4A16 B1=2770
PR,32K,32K,65500,2834.2,+10.5%,,3-round median,luz031-deployment-2026-08-23.md §3.1,vs W4A16 B1=2565
PR,64K,64K,131000,2550.0,+15.1%,,3-round median,luz031-deployment-2026-08-23.md §3.1,vs W4A16 B1=2215
PR_E5_REVIEW,4K,4K,8200,2959.6,+0.3% vs adoption band,,3-round median,arstall-production-closure-2026-08-23.md §1.2,production-identical clone; adoption band=2950.5
PR_E5_REVIEW,16K,16K,32800,2984.1,+1.4% vs adoption band,,3-round median,arstall-production-closure-2026-08-23.md §1.2,adoption band=2943.6
PR_E5_REVIEW,32K,32K,65500,2872.2,+1.3% vs adoption band,,3-round median,arstall-production-closure-2026-08-23.md §1.2,adoption band=2834.2
PR_E5_REVIEW,64K,64K,131000,2642.9,+3.6% vs adoption band,,3-round median,arstall-production-closure-2026-08-23.md §1.2,adoption band=2550.0
